Id,Timestamp,ExeInfo,ExeInfoDescription,ExeTimestamp,SidType,Sid,UserName,UserId,AppId,NetworkType,NotificationType,PayloadSize
5,2018-03-27 10:48:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4299
6,2018-03-27 10:48:00,Microsoft.Office.OneNote_17.8366.57611.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,578,0,1,1118
7,2018-03-27 10:48:00,Microsoft.Office.OneNote_17.8366.57611.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,578,0,128,30038
8,2018-03-27 10:48:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
9,2018-03-27 10:48:00,Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,994,0,4,1736
1,2018-03-27 12:16:00,Microsoft.Office.OneNote_17.8366.57611.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,578,0,1,1110
2,2018-03-27 12:16:00,Microsoft.BingWeather_4.21.2492.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,589,0,1,8598
3,2018-03-27 12:16:00,Microsoft.Office.OneNote_17.8366.57611.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,578,0,128,9618
4,2018-03-27 12:16:00,Microsoft.BingWeather_4.21.2492.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,589,0,128,13859
10,2018-03-27 23:30:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
11,2018-03-27 23:30:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4289
12,2018-03-28 00:25:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,3314
13,2018-03-28 00:25:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,12869
14,2018-03-28 01:19:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,128,39656
15,2018-03-28 01:19:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,128,13248
16,2018-03-28 01:19:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2204
17,2018-03-28 01:19:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4289
18,2018-03-28 02:30:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,8546
19,2018-03-28 02:30:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2236
20,2018-03-29 04:20:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
21,2018-03-29 04:20:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4288
22,2018-03-29 04:52:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2196
23,2018-03-29 04:52:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4288
24,2018-03-29 05:00:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4300
25,2018-03-29 23:02:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
26,2018-03-29 23:02:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4292
27,2018-03-29 23:26:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
28,2018-03-29 23:26:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4292
29,2018-03-30 02:14:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
30,2018-03-30 02:14:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4300
31,2018-03-30 03:29:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
32,2018-03-30 03:29:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4300
33,2018-03-30 03:29:00,Microsoft.Windows.Cortana_1.9.6.16299_neutral_neutral_cw5n1h2txyewy,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,550,0,128,17489
34,2018-03-30 21:10:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
35,2018-03-31 04:13:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
36,2018-03-31 04:48:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2196
37,2018-03-31 04:48:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4267
38,2018-03-31 17:41:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
39,2018-03-31 17:41:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4263
40,2018-03-31 17:55:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
41,2018-03-31 17:55:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4263
42,2018-03-31 19:30:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
43,2018-03-31 19:30:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4263
44,2018-03-31 20:25:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2228
45,2018-03-31 20:25:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,8526
46,2018-03-31 21:25:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2220
47,2018-03-31 21:25:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,8526
48,2018-03-31 21:55:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
49,2018-03-31 21:55:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4263
50,2018-04-01 06:38:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
51,2018-04-01 06:38:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4266
52,2018-04-01 07:03:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
53,2018-04-01 07:03:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4266
54,2018-04-01 10:16:00,Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,994,0,4,2118
55,2018-04-01 10:16:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
56,2018-04-01 10:16:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4299
57,2018-04-01 22:44:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
58,2018-04-01 22:44:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4291
59,2018-04-01 22:52:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
60,2018-04-03 05:59:00,Microsoft.SkypeApp_12.1811.248.0_x64__kzf8qxf38zg5c,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,994,0,4,2810
61,2018-04-03 05:59:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1074
62,2018-04-03 05:59:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4271
63,2018-04-04 04:31:00,Microsoft.BingWeather_4.22.3254.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,992,0,1,4271
64,2018-04-04 04:31:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2172
65,2018-04-04 04:31:00,Microsoft.BingWeather_4.23.10792.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2053,0,1,8572
66,2018-04-04 05:18:00,Microsoft.BingWeather_4.23.10792.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2053,0,1,8602
67,2018-04-04 05:18:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2204
68,2018-04-04 05:18:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4301
69,2018-04-04 05:35:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4301
70,2018-04-05 01:50:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
71,2018-04-05 01:50:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4268
72,2018-04-05 02:35:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,8535
73,2018-04-05 02:35:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1118
74,2018-04-05 05:41:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
75,2018-04-05 05:41:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4296
76,2018-04-05 05:52:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1086
77,2018-04-05 06:07:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4296
78,2018-04-06 03:31:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
79,2018-04-06 03:31:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4301
80,2018-04-06 04:19:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,8602
81,2018-04-06 04:19:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,2204
82,2018-04-06 06:16:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
83,2018-04-06 06:16:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4301
84,2018-04-06 06:25:00,Microsoft.Office.OneNote_17.9126.20561.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,993,0,1,1110
85,2018-04-06 07:25:00,Microsoft.Office.OneNote_17.9126.21251.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2389,0,1,1086
86,2018-04-06 08:29:00,Microsoft.Office.OneNote_17.9126.21251.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2389,0,1,1118
87,2018-04-06 08:29:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,1,4301
88,2018-04-06 08:29:00,Microsoft.Office.OneNote_17.9126.21251.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2389,0,128,30038
89,2018-04-06 08:29:00,Microsoft.WindowsStore_11803.1001.6.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2333,0,128,294602
90,2018-04-06 08:29:00,Microsoft.BingWeather_4.23.10923.0_x64__8wekyb3d8bbwe,,,UnknownOrUserSid,S-1-5-21-2734969515-1644526556-1039763013-1001,jcloudy,271,2086,0,128,10068
